recall_id,clause_id,segment_ids,fan_out,reciprocal,percentage,including_other_clauses_percentage,including_other_clauses,only_secondary,totally_missed,max_clause_id,clause_position,clause_text
16,1,[1],1,[],0.0,0.0,[],set(),{1},24,0.0416666666666666,There was a lady
63,14,[14],1,[],0.0,0.0,[],set(),{14},21,0.6666666666666666,they were all sad.
63,17,[17],1,[],0.0,0.0,[],set(),{17},21,0.8095238095238095,It was all so sad and terrible.
35,7,[7],1,[],0.0,0.0,[],set(),{7},42,0.1666666666666666,"Her sister, Victoria, often went to visit her."
35,31,[31],1,[],0.0,0.0,[],set(),{31},42,0.7380952380952381,I was pulling my hair out
71,21,[21],1,[],0.0,0.0,[],set(),{21},41,0.5121951219512195,because of the nurses running around
71,27,[27],1,[],0.0,0.0,[],set(),{27},41,0.6585365853658537,She was so devastated
47,1,[1],1,[],0.0,0.0,[],set(),{1},32,0.03125,"Mrs. Costa's daughter Marie passed away,"
47,31,[31],1,[],0.0,0.0,[],set(),{31},32,0.96875,"Now, even when Mrs Costa goes to the store,"
32,1,[1],1,[],0.0,0.0,[],set(),{1},36,0.0277777777777777,Mrs Costa’s daughter had died.
38,1,[1],1,[],0.0,0.0,[],set(),{1},23,0.0434782608695652,A mother (Mary) lost her daughter (Marie).
85,1,[1],1,[],0.0,0.0,[],set(),{1},43,0.0232558139534883,"So Miss Costa had a daughter named Marie,"
44,1,[1],1,[],0.0,0.0,[],set(),{1},42,0.0238095238095238,A woman recalls the death of her daughter
44,4,[4],1,[],0.0,0.0,[],set(),{4},42,0.0952380952380952,at Methodist Hospital.
75,20,[20],1,[],0.0,0.0,[],set(),{20},21,0.9523809523809524,The news was devastating.
49,9,[9],1,[],0.0,0.0,[],set(),{9},43,0.2093023255813953,They used a lot of Ether back then.
82,1,[1],1,[],0.0,0.0,[],set(),{1},25,0.04,My daughter died
72,7,[7],1,[],0.0,0.0,[],set(),{7},41,0.1707317073170731,"When she got to the hospital,"
78,1,[1],1,[],0.0,0.0,[],set(),{1},38,0.0263157894736842,Mrs. Costa had a daughter
73,1,[1],1,[],0.0,0.0,[],set(),{1},39,0.0256410256410256,The story centers on a grieving mother
73,4,[4],1,[],0.0,0.0,[],set(),{4},39,0.1025641025641025,at a Methodist hospital.
73,7,[7],1,[],0.0,0.0,[],set(),{7},39,0.1794871794871795,in the hospital.
73,9,[9],1,[],0.0,0.0,[],set(),{9},39,0.2307692307692307,Victoria witnesses the frantic activity
73,11,[11],1,[],0.0,0.0,[],set(),{11},39,0.282051282051282,out of their beds.
73,13,[13],1,[],0.0,0.0,[],set(),{13},39,0.3333333333333333,"and asks a nurse about it,"
73,14,[14],1,[],0.0,0.0,[],set(),{14},39,0.358974358974359,only to learn that it is needed
73,15,[15],1,[],0.0,0.0,[],set(),{15},39,0.3846153846153846,to transfer patients.
37,10,[10],1,[],0.0,0.0,[],set(),{10},49,0.2040816326530612,I saw a chair by her bed.
83,5,[5],1,[],0.0,0.0,[],set(),{5},14,0.3571428571428571,she had appendicitis
48,1,[1],1,[],0.0,0.0,[],set(),{1},30,0.0333333333333333,"My daughter Marie was sick,"
89,28,[28],1,[],0.0,0.0,[],set(),{28},43,0.6511627906976745,She was like in shock.
74,5,[5],1,[],0.0,0.0,[],set(),{5},47,0.1063829787234042,She had her operation
77,1,[1],1,[],0.0,0.0,[],set(),{1},23,0.0434782608695652,"The story is about the death of Marie,"
46,4,[4],1,[],0.0,0.0,[],set(),{4},33,0.1212121212121212,The daughter was in the hospital
46,31,[31],1,[],0.0,0.0,[],set(),{31},33,0.9393939393939394,and so did her son.
70,1,[1],1,[],0.0,0.0,[],set(),{1},15,0.0666666666666666,"My daughter died,"
70,2,[2],1,[],0.0,0.0,[],set(),{2},15,0.1333333333333333,"It'll be 28 years this month,"
70,3,[3],1,[],0.0,0.0,[],set(),{3},15,0.2,the 30th of the month.
80,23,[23],1,[],0.0,0.0,[],set(),{23},37,0.6216216216216216,Her life was shattered.
80,31,[31],1,[],0.0,0.0,[],set(),{31},37,0.8378378378378378,let them know.
80,33,[33],1,[],0.0,0.0,[],set(),{33},37,0.8918918918918919,"her sister's husband,"
80,34,[34],1,[],0.0,0.0,[],set(),{34},37,0.918918918918919,and described the whole situation.
